title,average_rating,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,author,genres,description,rating,RatingDist2,RatingDist5,ISBN,RatingDist3
Harry Potter and the Half-Blood Prince 6,6.913888889,652,4:556485,total:2298124,16,9,Scholastic Inc.,28062,2006,eng,J.K. Rowling,Fntasy,Sample Description 1,4.57,2:25317,5:1546466,,3:159960
Harry Potter and the Order of the Phoenix 5,1:12455,870,4:604283,total:2358637,1,9,Scholastic Inc.,29770,2004,eng,J.K. Rowling,Biography,Sample Description 2,4.5,2:37005,5:1493113,0439358078,3:211781
Harry Potter and the Sorcerer's Stone 1,1:108202,309,4:1513191,total:6587388,1,11,Scholastic Inc,75911,2003,eng,J.K. Rowling,Self-Help,Sample Description 3,4.47,2:130310,5:4268227,,3:567458
Harry Potter and the Chamber of Secrets 2,1:11896,352,4:706082,total:2560657,1,11,Scholastic,244,2003,eng,J.K. Rowling,History,Sample Description 4,4.42,2:49353,5:1504505,0439554896,3:288821
Harry Potter and the Prisoner of Azkaban 3,1:10128,435,4:630534,total:2610317,1,5,Scholastic Inc.,37093,2004,eng,J.K. Rowling,Science,Sample Description 5,4.57,2:24849,5:1749958,043965548X,3:194848
Harry Potter and the Goblet of Fire 4,6.582638889,734,4:606800,total:2431085,28,9,Scholastic,31978,2002,eng,J.K. Rowling,Fntasy,Sample Description 6,4.5600000000000005,2:24282,5:1612165,,3:178419
"Harry Potter Boxed Set, Books 1-5",0.320833333,2690,3.395833333,total:43968,13,9,Scholastic,166,2004,eng,J.K. Rowling,Biography,Sample Description 7,4.78,0.279861111,5:37432,0439682584,0.959027778
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",1:00,152,4:07,total:28,26,4,Nimble Books,1,2005,en-US,W. Frederick Zimmerman,Self-Help,Sample Description 8,3.79,2:05,5:10,0976540606,3:06
Harry Potter Collection 6,0.220138889,3342,3.193055556,total:30313,12,9,Scholastic,809,2005,eng,J.K. Rowling,History,Sample Description 9,4.73,0.234722222,5:24406,0439827604,0.870833333
"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",2.432638889,815,4:75683,total:274268,1,11,Gramercy Books,255,2005,eng,Douglas Adams,Science,Sample Description 10,4.37,5.370138889,5:157499,0517226952,3:30030
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",2.432638889,815,4:75683,total:274268,30,4,Del Rey Books,4119,2002,eng,Douglas Adams,Fntasy,Sample Description 11,4.37,5.370138889,5:157499,0345453743,3:30030
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1:28636,215,4:396332,total:1350083,3,8,Crown,470,2004,eng,Douglas Adams,Biography,Sample Description 12,4.22,2:54163,5:682711,1400052920,3:188241
